v,w,l
28, 19, 1.41
28, 27, 1
28, 29, 1
28, 37, 1.41
28, 38, 1
28, 39, 1.41
29, 18, 1.41
29, 19, 1
29, 28, 1
29, 38, 1.41
29, 39, 1
30, 20, 1
30, 21, 1.41
30, 31, 1
30, 40, 1
30, 41, 1.41
31, 20, 1.41
31, 21, 1
31, 22, 1.41
31, 30, 1
31, 32, 1
31, 40, 1.41
31, 41, 1
31, 42, 1.41
32, 21, 1.41
32, 22, 1
32, 23, 1.41
32, 31, 1
32, 33, 1
32, 41, 1.41
32, 42, 1
32, 43, 1.41
33, 22, 1.41
33, 23, 1
33, 24, 1.41
33, 32, 1
33, 34, 1
33, 42, 1.41
33, 43, 1
33, 44, 1.41
34, 23, 1.41
34, 24, 1
34, 33, 1
34, 43, 1.41
34, 44, 1
34, 45, 1.41
37, 26, 1.41
37, 27, 1
37, 28, 1.41
37, 38, 1
37, 48, 1.41
38, 27, 1.41
38, 28, 1
38, 29, 1.41
38, 37, 1
38, 39, 1
38, 48, 1
38, 49, 1.41
39, 28, 1.41
39, 29, 1
39, 38, 1
39, 48, 1.41
39, 49, 1
40, 30, 1
40, 31, 1.41
40, 41, 1
40, 50, 1
41, 30, 1.41
41, 31, 1
41, 32, 1.41
41, 40, 1
41, 42, 1
41, 50, 1.41
42, 31, 1.41
42, 32, 1
42, 33, 1.41
42, 41, 1
42, 43, 1
42, 53, 1.41
43, 32, 1.41
43, 33, 1
43, 34, 1.41
43, 42, 1
43, 44, 1
43, 53, 1
43, 54, 1.41
44, 33, 1.41
44, 34, 1
44, 43, 1
44, 45, 1
44, 53, 1.41
44, 54, 1
44, 55, 1.41
45, 34, 1.41
45, 44, 1
45, 54, 1.41
45, 55, 1
45, 56, 1.41
48, 37, 1.41
48, 38, 1
48, 39, 1.41
48, 49, 1
48, 57, 1.41
48, 58, 1
48, 59, 1.41
49, 38, 1.41
49, 39, 1
49, 48, 1
49, 58, 1.41
49, 59, 1
50, 40, 1
50, 41, 1.41
50, 60, 1
50, 61, 1.41
53, 42, 1.41
53, 43, 1
53, 44, 1.41
53, 54, 1
53, 63, 1
53, 64, 1.41
54, 43, 1.41
54, 44, 1
54, 45, 1.41
54, 53, 1
54, 55, 1
54, 63, 1.41
54, 64, 1
54, 65, 1.41
55, 44, 1.41
55, 45, 1
55, 54, 1
55, 56, 1
55, 64, 1.41
55, 65, 1
55, 66, 1.41
56, 45, 1.41
56, 55, 1
56, 57, 1
56, 65, 1.41
56, 66, 1
56, 67, 1.41
57, 48, 1.41
57, 56, 1
57, 58, 1
57, 66, 1.41
57, 67, 1
57, 68, 1.41
58, 48, 1
58, 49, 1.41
58, 57, 1
58, 59, 1
58, 67, 1.41
58, 68, 1
58, 69, 1.41
59, 48, 1.41
59, 49, 1
59, 58, 1
59, 68, 1.41
59, 69, 1
60, 50, 1
60, 61, 1
60, 70, 1
60, 71, 1.41
61, 50, 1.41
61, 60, 1
61, 70, 1.41
61, 71, 1
63, 53, 1
63, 54, 1.41
63, 64, 1
63, 73, 1
64, 53, 1.41
64, 54, 1
64, 55, 1.41
64, 63, 1
64, 65, 1
64, 73, 1.41
64, 75, 1.41
65, 54, 1.41
65, 55, 1
65, 56, 1.41
65, 64, 1
65, 66, 1
65, 75, 1
65, 76, 1.41
66, 55, 1.41
66, 56, 1
66, 57, 1.41
66, 65, 1
66, 67, 1
66, 75, 1.41
66, 76, 1
66, 77, 1.41
67, 56, 1.41
67, 57, 1
67, 58, 1.41
67, 66, 1
67, 68, 1
67, 76, 1.41
67, 77, 1
67, 78, 1.41
68, 57, 1.41
68, 58, 1
68, 59, 1.41
68, 67, 1
68, 69, 1
68, 77, 1.41
68, 78, 1
68, 79, 1.41
69, 58, 1.41
69, 59, 1
69, 68, 1
69, 78, 1.41
69, 79, 1
70, 60, 1
70, 61, 1.41
70, 71, 1
70, 80, 1
70, 81, 1.41
71, 60, 1.41
71, 61, 1
71, 70, 1
71, 80, 1.41
71, 81, 1
73, 63, 1
73, 64, 1.41
73, 83, 1
75, 64, 1.41
75, 65, 1
75, 66, 1.41
75, 76, 1
75, 85, 1
75, 86, 1.41
76, 65, 1.41
76, 66, 1
76, 67, 1.41
76, 75, 1
76, 77, 1
76, 85, 1.41
76, 86, 1
76, 87, 1.41
77, 66, 1.41
77, 67, 1
77, 68, 1.41
77, 76, 1
77, 78, 1
77, 86, 1.41
77, 87, 1
77, 88, 1.41
78, 67, 1.41
78, 68, 1
78, 69, 1.41
78, 77, 1
78, 79, 1
78, 87, 1.41
78, 88, 1
78, 89, 1.41
79, 68, 1.41
79, 69, 1
79, 78, 1
79, 88, 1.41
79, 89, 1
80, 70, 1
80, 71, 1.41
80, 81, 1
80, 90, 1
80, 91, 1.41
81, 70, 1.41
81, 71, 1
81, 80, 1
81, 90, 1.41
81, 91, 1
81, 92, 1.41
83, 73, 1
83, 92, 1.41
83, 93, 1
85, 75, 1
85, 76, 1.41
85, 86, 1
85, 95, 1
85, 96, 1.41
86, 75, 1.41
86, 76, 1
86, 77, 1.41
86, 85, 1
86, 87, 1
86, 95, 1.41
86, 96, 1
86, 97, 1.41
87, 76, 1.41
87, 77, 1
87, 78, 1.41
87, 86, 1
87, 88, 1
87, 96, 1.41
87, 97, 1
87, 98, 1.41
88, 77, 1.41
88, 78, 1
88, 79, 1.41
88, 87, 1
88, 89, 1
88, 97, 1.41
88, 98, 1
89, 78, 1.41
89, 79, 1
89, 88, 1
89, 98, 1.41
90, 80, 1
90, 81, 1.41
90, 91, 1
91, 80, 1.41
91, 81, 1
91, 90, 1
91, 92, 1
92, 81, 1.41
92, 83, 1.41
92, 91, 1
92, 93, 1
93, 83, 1
93, 92, 1
95, 85, 1
95, 86, 1.41
95, 96, 1
96, 85, 1.41
96, 86, 1
96, 87, 1.41
96, 95, 1
96, 97, 1
97, 86, 1.41
97, 87, 1
97, 88, 1.41
97, 96, 1
97, 98, 1
98, 87, 1.41
98, 88, 1
98, 89, 1.41
98, 97, 1
99, 88, 1.41
99, 89, 1
99, 98, 1
